Pitch,Octave,Nearest Note,Offset,Jazz-Close,Jazz-Close and CC,Up Quarter Tone,Up Quarter Tone and CC
178,6,C#,-11,TRUE,TRUE,FALSE,FALSE
179,6,C#,8,TRUE,FALSE,TRUE,FALSE
180,6,C#,27,FALSE,FALSE,FALSE,FALSE
181,6,C#,46,FALSE,FALSE,TRUE,FALSE
182,6,D,-35,FALSE,FALSE,FALSE,FALSE
183,6,D,-16,FALSE,FALSE,FALSE,FALSE
184,6,D,3,TRUE,TRUE,TRUE,TRUE
185,6,D,21,FALSE,FALSE,FALSE,FALSE
186,6,D,40,FALSE,FALSE,TRUE,TRUE
187,6,D#,-42,FALSE,FALSE,FALSE,FALSE
188,6,D#,-24,FALSE,FALSE,FALSE,FALSE
189,6,D#,-5,TRUE,FALSE,FALSE,FALSE
190,6,D#,13,FALSE,FALSE,FALSE,FALSE
191,6,D#,31,FALSE,FALSE,FALSE,FALSE
192,6,D#,49,FALSE,FALSE,TRUE,TRUE
193,6,E,-33,FALSE,FALSE,FALSE,FALSE
194,6,E,-16,FALSE,FALSE,FALSE,FALSE
195,6,E,2,TRUE,FALSE,TRUE,FALSE
196,6,E,20,FALSE,FALSE,FALSE,FALSE
197,6,E,37,FALSE,FALSE,FALSE,FALSE
198,6,F,-46,FALSE,FALSE,FALSE,FALSE
199,6,F,-28,FALSE,FALSE,FALSE,FALSE
200,6,F,-11,TRUE,TRUE,FALSE,FALSE
201,6,F,5,TRUE,FALSE,TRUE,FALSE
202,6,F,23,FALSE,FALSE,FALSE,FALSE
203,6,F,40,FALSE,FALSE,TRUE,FALSE
204,6,F#,-43,FALSE,FALSE,FALSE,FALSE
205,6,F#,-26,FALSE,FALSE,FALSE,FALSE
206,6,F#,-9,TRUE,TRUE,FALSE,FALSE
207,6,F#,7,TRUE,FALSE,TRUE,FALSE
208,6,F#,24,FALSE,FALSE,FALSE,FALSE
209,6,F#,40,FALSE,FALSE,TRUE,FALSE
210,6,G,-43,FALSE,FALSE,FALSE,FALSE
211,6,G,-27,FALSE,FALSE,FALSE,FALSE
212,6,G,-11,TRUE,TRUE,FALSE,FALSE
213,6,G,6,TRUE,FALSE,TRUE,FALSE
214,6,G,22,FALSE,FALSE,FALSE,FALSE
215,6,G,38,FALSE,FALSE,FALSE,FALSE
216,6,G#,-46,FALSE,FALSE,FALSE,FALSE
217,6,G#,-30,FALSE,FALSE,FALSE,FALSE
218,6,G#,-15,FALSE,FALSE,FALSE,FALSE
219,6,G#,1,TRUE,FALSE,TRUE,FALSE
220,6,G#,17,FALSE,FALSE,FALSE,FALSE
221,6,G#,32,FALSE,FALSE,FALSE,FALSE
222,6,G#,48,FALSE,FALSE,TRUE,TRUE
223,6,A,-37,FALSE,FALSE,FALSE,FALSE
224,6,A,-21,FALSE,FALSE,FALSE,FALSE
225,6,A,-6,TRUE,FALSE,FALSE,FALSE
226,6,A,9,TRUE,TRUE,TRUE,TRUE
227,6,A,27,FALSE,FALSE,FALSE,FALSE
228,6,A,40,FALSE,FALSE,TRUE,TRUE
229,6,A#,-45,FALSE,FALSE,FALSE,FALSE
230,6,A#,30,FALSE,FALSE,FALSE,FALSE
231,6,A#,-15,FALSE,FALSE,FALSE,FALSE
232,6,A#,0,TRUE,TRUE,FALSE,FALSE
233,6,A#,14,FALSE,FALSE,FALSE,FALSE
234,6,A#,29,FALSE,FALSE,FALSE,FALSE
235,6,A#,44,FALSE,FALSE,TRUE,FALSE
236,6,B,-41,FALSE,FALSE,FALSE,FALSE
237,6,B,-27,FALSE,FALSE,FALSE,FALSE
238,6,B,-12,FALSE,FALSE,FALSE,FALSE
239,6,B,2,TRUE,FALSE,TRUE,FALSE
240,6,B,16,FALSE,FALSE,FALSE,FALSE
241,6,B,31,FALSE,FALSE,FALSE,FALSE
242,6,B,45,FALSE,FALSE,TRUE,TRUE
243,7,C,-41,FALSE,FALSE,FALSE,FALSE
244,7,C,-27,FALSE,FALSE,FALSE,FALSE
245,7,C,-13,FALSE,FALSE,FALSE,FALSE
246,7,C,2,TRUE,TRUE,TRUE,TRUE
247,7,C,16,FALSE,FALSE,FALSE,FALSE
248,7,C,29,FALSE,FALSE,FALSE,FALSE
249,7,C,43,FALSE,FALSE,TRUE,FALSE
250,7,C#,-43,FALSE,FALSE,FALSE,FALSE
251,7,C#,-29,FALSE,FALSE,FALSE,FALSE
252,7,C#,-15,FALSE,FALSE,FALSE,FALSE
252,7,C#,-15,FALSE,FALSE,FALSE,FALSE
253,7,C#,-2,TRUE,FALSE,FALSE,FALSE
254,,,50,FALSE,FALSE,TRUE,TRUE
255,7,C#,25,FALSE,FALSE,FALSE,FALSE
